,N,ratio,QFI
120,40.0,1.0101010101010102,6587.710510016286
121,40.0,1.0606060606060606,8003.377359503298
122,40.0,1.1111111111111112,8526.488961866697
123,40.0,1.1616161616161615,8947.379972688776
124,40.0,1.2121212121212122,9471.872755651311
125,40.0,1.2626262626262625,10083.517977215184
126,40.0,1.3131313131313131,10733.23001068971
127,40.0,1.3636363636363635,11383.833440286728
128,40.0,1.4141414141414141,12013.176220026731
129,40.0,1.4646464646464645,12609.747372017922
130,40.0,1.5151515151515151,13168.564311226644
131,40.0,1.5656565656565655,13688.4049945739
132,40.0,1.6161616161616161,14170.115563421623
133,40.0,1.6666666666666667,14615.613166174719
134,40.0,1.7171717171717171,15027.309217117834
135,40.0,1.7676767676767677,15407.781244068557
136,40.0,1.8181818181818181,15759.590161957285
137,40.0,1.8686868686868687,16085.1829555589
138,40.0,1.9191919191919191,16386.844914712296
139,40.0,1.9696969696969697,16666.68076514332
140,40.0,2.0202020202020203,16926.612027902105
141,40.0,2.0707070707070705,17168.383484011152
142,40.0,2.121212121212121,17393.57414848629
143,40.0,2.1717171717171717,17603.610434913437
144,40.0,2.2222222222222223,17799.779723323903
145,40.0,2.2727272727272725,17983.2437499095
146,40.0,2.323232323232323,18155.051220884372
147,40.0,2.3737373737373737,18316.149379400737
148,40.0,2.4242424242424243,18467.394680582292
149,40.0,2.474747474747475,18609.56230849369
150,40.0,2.525252525252525,18743.354683339243
151,40.0,2.5757575757575757,18869.40922523794
152,40.0,2.6262626262626263,18988.305055168603
153,40.0,2.676767676767677,19100.569093591126
154,40.0,2.727272727272727,19206.681429691063
155,40.0,2.7777777777777777,19307.08011397951
156,40.0,2.8282828282828283,19402.165355894285
157,40.0,2.878787878787879,19492.303361687143
158,40.0,2.929292929292929,19577.829570625498
159,40.0,2.9797979797979797,19659.051833168935
160,40.0,3.0303030303030303,19736.25283576691
161,40.0,3.080808080808081,19809.69269362806
162,40.0,3.131313131313131,19879.610864642003
163,40.0,3.1818181818181817,19946.228276801754
164,40.0,3.2323232323232323,20009.748830490782
165,40.0,3.282828282828283,20070.36103800436
166,40.0,3.3333333333333335,20128.239319600903
167,40.0,3.3838383838383836,20183.54522685517
168,40.0,3.4343434343434343,20236.428723585526
169,40.0,3.484848484848485,20287.02893778592
170,40.0,3.5353535353535355,20335.4752392135
171,40.0,3.5858585858585856,20381.887920403882
172,40.0,3.6363636363636362,20426.379101391445
173,40.0,3.686868686868687,20469.053236688378
174,40.0,3.7373737373737375,20510.007844683932
175,40.0,3.7878787878787876,20549.333916566855
176,40.0,3.8383838383838382,20587.116644861897
177,40.0,3.888888888888889,20623.435650895306
178,40.0,3.9393939393939394,20658.365494543974
179,40.0,3.9898989898989896,20691.976054307477
180,40.0,4.040404040404041,20724.332912905596
181,40.0,4.090909090909091,20755.497617218705
182,40.0,4.141414141414141,20785.52803319032
183,40.0,4.191919191919192,20814.478394227288
184,40.0,4.242424242424242,20842.399897451985
185,40.0,4.292929292929293,20869.34077234626
